r_km,ULD_1989,ULD_2007,ULD_2015
1.0,0.6464739505116958,0.7630643129092063,0.7891589582972393
2.0,0.4958771399370693,0.656258623098609,0.6558019089116526
3.0,0.4883737949403458,0.6295742975485153,0.6152910977061449
4.0,0.5981463270565587,0.7333512186474928,0.7085543440152948
5.0,0.552431091522111,0.7033297756248108,0.6906810651057502
6.0,0.3954038262817344,0.5477251583344406,0.5637523514436634
7.0,0.32894673481893905,0.4495113767552745,0.48730507417497004
8.0,0.29789905541811884,0.4233046730993436,0.4562232604087525
9.0,0.20792961034229127,0.31263204503536285,0.3345488675748141
10.0,0.16029176137674306,0.27759593611654704,0.3328555813454483
11.0,0.11435489978056568,0.2274384344583086,0.27721234969135033
12.0,0.13597597806196604,0.2544257492688339,0.29617445032709755
13.0,0.17106222214586098,0.2948378927874289,0.3300192722706334
14.0,0.091700436241969,0.1745594131968907,0.22165825807452166
15.0,0.04995276353032479,0.11668767375671545,0.17881970424873322
16.0,0.08311232547463601,0.16294601947684734,0.20440755412593048
17.0,0.08074082194568373,0.15129409967010474,0.1972693113817652
18.0,0.05964406421963325,0.13748387062822265,0.21230703253424224
19.0,0.050290187908309684,0.11891899309668293,0.18096027338418014
20.0,0.029428545961000994,0.08650102537080986,0.17147476678418924
21.0,0.09983765872811526,0.1827309494318136,0.2803474362290715
22.0,0.10796178272807544,0.18342587015926687,0.24227153778223864
23.0,0.07118526914950431,0.1482080878283484,0.18867869071848825
24.0,0.08541910910572041,0.18253834595314375,0.19755091438141717
