r_km,ULD_1989,ULD_2007,ULD_2016
1.0,0.5384347974109313,0.706599684401785,0.7928700372723881
2.0,0.3547114566592745,0.4798883350404568,0.5882034408720286
3.0,0.2691473931162365,0.3135230597886827,0.4099289558766401
4.0,0.1748744324400222,0.21049980072788535,0.3193967860703425
5.0,0.16145768740286168,0.21096052029562185,0.33067356815973414
6.0,0.13297779942275234,0.15785586532491022,0.2740870514216542
7.0,0.10968981738722144,0.1468214836534486,0.24745174439889042
8.0,0.07680241429226163,0.09950825102571594,0.15527906921043247
9.0,0.08296189569576178,0.1315436187311464,0.16134059710775953
10.0,0.07454606122062131,0.07665123672043095,0.14574045484379447
