,alpha,c,D,R_squared,r1,r0,r2,ks,kp,dr2,dr1,Sr
1989,4.075706515779174,0.02631112081024009,6.737060490100392,0.9964395349180538,2.2800785940896318,3.368530245050196,4.45698189601076,0.25823805490308155,0.3231236093426688,,,
2007,3.8597615048497516,0.05844035205627185,7.380538519129696,0.9942612735918048,2.431143293579049,3.690269259564848,4.949395225550647,0.21586778345671997,0.34120165153863957,1.1227410921282999,0.673292630750639,1.667538067179765
2016,4.046719021251622,0.087020117313348,7.844250222685942,0.9943359071575344,2.6457157305252927,3.922125111342971,5.19853449216065,0.20648114280211116,0.325438211322286,0.6056932571861114,1.0620037949565053,0.5703305958628121
