,alpha,c,D,R_squared,r1,r0,r2,ks,kp,dr2,dr1,Sr
1989,1.5608168428779399,0.10374399894745936,4.26262115717088,0.9584568065436618,0.3329929870948873,2.13131057858544,3.929628170075993,0.14387152877117446,0.8437613971231279,,,
2007,3.5407410966860646,0.14843030759960554,5.758687196215298,0.9704394781074,1.808389353392573,2.879343598107649,3.9502978428227253,0.2295400407316984,0.37194388520318467,0.006882856070208196,5.797759123031144,0.001187157990553038
2016,4.177072872462223,0.2534252252118179,6.304238212978716,0.9774943111396728,2.1583118522534677,3.152119106489358,4.145926360725249,0.21686043465006064,0.3152822658858008,0.35377252899489214,1.3822980924053296,0.2559307076661695
