,alpha,c,D,R_squared,r1,r0,r2,ks,kp,dr2,dr1,Sr
1989,0.5459096773355365,4.061895138050981e-25,2.2626627699222914,0.9591578393442474,-1.5979017622074803,1.1313313849611457,3.8605645321297715,0.10577146928597089,2.41240823285598,,,
2007,1.5546869998798662,0.01287439461286805,5.256823741399886,0.9790604732295328,0.4019152110707946,2.628411870699943,4.854908530329092,0.12798513885154167,0.8470881920938195,-1.5888640269631256,7.720422477789219,-0.20580014002266164
2015,2.4142407012705647,0.023395241689527196,6.925523087962582,0.9885250505238196,1.5738413330524579,3.462761543981291,5.351681754910124,0.14925001965363446,0.545495318385989,0.19966071541180477,5.689594126524269,0.03509225982939771
