,alpha,c,D,R_squared
1989,4.075706515779175,0.02631112081024009,6.737060490100391,0.9964395349180538
2007,3.859761504849751,0.058440352056271856,7.380538519129695,0.9942612735918047
2016,4.046719021251622,0.087020117313348,7.844250222685943,0.9943359071575344
