,alpha,c,D,R_squared
1989,2.480964580648703,0.07664138029815064,11.662169241643905,0.9906080147240887
2007,3.135694165066627,0.16346414254584066,13.893666281293992,0.983625127608299
2015,2.6138737341590845,0.20681072024028055,13.352770616558173,0.9750429962273767
