,alpha,c,D,R_squared
1989,0.5459096773355365,4.0618951380509813e-25,2.2626627699222914,0.9591578393442474
2007,1.5546869998798662,0.01287439461286805,5.256823741399887,0.9790604732295328
2015,2.4142407012705647,0.023395241689527193,6.925523087962583,0.9885250505238197
