,alpha,c,D,R_squared
1989,1.56081684287794,0.10374399894745935,4.26262115717088,0.9584568065436618
2007,3.5407410966860646,0.14843030759960557,5.758687196215297,0.9704394781073999
2016,4.177072872462223,0.2534252252118179,6.304238212978716,0.9774943111396727
