r_km,ULD_1989,ULD_2007,ULD_2015
1.0,0.4643283393688311,0.6862594064939139,0.8494588488136108
2.0,0.4516394102787762,0.6393276423936038,0.7636368413934801
3.0,0.3283373285346373,0.4937517605145127,0.605634167955869
4.0,0.1382183814270575,0.23338445419378356,0.34339073291296757
5.0,0.17761713380164412,0.2445871653076902,0.3288739195569371
6.0,0.06149088088666396,0.1257304433626437,0.16367845601187153
7.0,0.04062569605398293,0.08543272512278789,0.10057306010252852
8.0,0.012978073204478592,0.04395845710623576,0.06392749565182833
9.0,0.019289878324052368,0.03456524767849798,0.04104190271880382
10.0,0.023467868113978614,0.05946654653649251,0.0702807634889294
11.0,0.006523678517985839,0.01966588532266566,0.02956770705535113
12.0,0.002912385457878745,0.00750475479163982,0.007447186251058297
13.0,0.0,0.0,0.0
