r_km,ULD_1989,ULD_2007,ULD_2016
1.0,0.6915955766818924,0.8649775512362677,0.9328490973556307
2.0,0.5860305791220471,0.7962733526630402,0.8792670893467365
3.0,0.4664950058295274,0.5855000729465369,0.6767146098597332
4.0,0.2608625373891095,0.2672095749897282,0.40752277806167064
5.0,0.175876233211188,0.20409373969438654,0.32351210622524684
6.0,0.14674413704007833,0.19114937981072447,0.32018452034403794
7.0,0.115156087152953,0.16498638086987968,0.2652742243613223
8.0,0.07918629844491804,0.11336651704706915,0.1933986616423206
9.0,0.09209941987672222,0.13020474582556918,0.21023243701490288
10.0,0.21475952613082253,0.2417131503639155,0.3253940139808436
11.0,0.12660340100363499,0.1829817544739044,0.28300664226579036
12.0,0.1044905511273537,0.12862479099698446,0.23824645982825726
13.0,0.06038221547569445,0.0843402597006945,0.22132005807300914
