r_km,ULD_1989,ULD_2007,ULD_2016
1.0,0.9126102069942859,0.9403310470849789,0.9606405729399462
2.0,0.8797477048230653,0.9018527356458168,0.9233701243107013
3.0,0.6168357990515013,0.6928545192022187,0.7566361395027376
4.0,0.3150791701071205,0.4150259230594354,0.4811588028398041
5.0,0.1544747598771585,0.2609630759134501,0.32329534206061644
6.0,0.08965388063533067,0.16111212387998644,0.20414288725684898
7.0,0.0545272472066976,0.1053620038640762,0.13990656875988466
8.0,0.033029814780379176,0.09233146163439576,0.12354850904043238
9.0,0.036340683327519364,0.08875007377844214,0.11750226869693049
10.0,0.03432295880403816,0.07079965438107806,0.10379419099722494
11.0,0.01244712129308289,0.04615807479518239,0.06670879068011612
12.0,0.008517692268995838,0.038025411915159985,0.07429269223236924
13.0,0.005742781591413556,0.033308133230198635,0.07314334935104592
14.0,0.022287544259543195,0.022287544259543195,0.04457508851908639
