,alpha,c,D,R_squared,r1,r0,r2,ks,kp,dr2,dr1,Sr
1989,0.5754650350555843,0.08415372901380251,1.7423742972939351,0.9885837036396008,-1.1225326150739416,0.8711871486469676,2.8649069123678768,0.13260736392737593,2.288509153076163,,,
2007,1.4905834288252926,0.1215495652342568,3.332361122899425,0.981768343072404,0.19408036817544808,1.6661805614497125,3.1382807547239766,0.1722618340888674,0.8835178055332836,-0.30687105415280425,3.7719736366244683,-0.08135556706261143
2016,1.5351583739724564,0.18180959223804488,4.177590078510368,0.9559920378475656,0.29689311229364396,2.088795039255184,3.8806969662167248,0.13181029185072793,0.8578639326913047,0.1440884116659339,0.3226552562064949,0.4465707869135698
