,alpha,c,D,R_squared,r1,r0,r2,ks,kp,dr2,dr1,Sr
1989,0.8363919136674595,0.04679036674954632,6.814960775869741,0.9315655592733132,-1.9578334989204813,3.4074803879348705,8.772794274790222,0.05128642921576625,1.574569264096936,,,
2007,1.4714094650037894,0.1269959097907209,10.585391591452881,0.9418056032981704,0.555569290267571,5.2926957957264404,10.029822301185309,0.053199857645927884,0.8950309423193824,-2.4610515791582004,22.04956559923072,-0.11161451540088677
2015,1.3096243971107622,0.1854671885751613,9.794421453383992,0.9397122416635014,-0.027419542277136135,4.897210726691996,9.821840995661127,0.047746784326061886,1.005599012133108,-0.11554802629899272,-5.847274393998891,0.019761006327594387
